dom_edific,nombre_est,nomb_abrev,telefono,comunas,barrio,longitude,latitude,,,,,,,,
Avda. Juan de Garay 1684,Inst. Vocacional de Arte,I Vocacional de Arte,4304-4943,1,CONSTITUCION,-58.3891,-34.6274,,,,,,,,
Pío Collivadino 470,Inst. Vocacional de Arte,I Vocacional de Arte,4671-2911,9,PARQUE AVELLANEDA,-58.4834,-34.6404,,,,,,,,
Avda. Curapaligüe 1026,Inst. Vocacional de Arte,I Vocacional de Arte,4925-6351,7,PARQUE CHACABUCO,-58.4469,-34.6351,,,,,,,,
Varela 753,CENOF Centro Varela - Esc. Primaria 12/11°,CENOF Varela,4611-1152,7,FLORES,-58.4602,-34.6382,,,,,,,,
Juncal 3131,CENOF Centro Juncal - Esc. Primaria 16/01°,CENOF Juncal,4804-2411,14,PALERMO,-58.4088,-34.5857,,,,,,,,
Agrelo 3231,"CENOF D.E. 06 ""Centro Municipal del Tango"" - Esc. Primaria 12/06°",CENOF Centro Muni del Tango,4957-1382,3,BALVANERA,-58.4116,-34.6178,,,,,,,,
Los Patos 3080,Ciclo Básico de Formación Ocupacional N° 01 Evita,CBO 01,4931-0182,4,PARQUE PATRICIOS,-58.406,-34.6415,,,,,,,,
Gallo 238,Conservatorio de Música de la Ciudad de Buenos Aires,C de Música de la CBA,4829-9068,5,ALMAGRO,-58.4137,-34.6058,,,,,,,,
Bolívar 1235,Centro de Actividades Infantiles y Juveniles Club San Telmo,CAIyJ San Telmo,4361-8965,1,SAN TELMO,-58.3729,-34.6223,,,,,,,,
Letonia (ex Paseo Estados Unidos del Brasil) y Avda. Antártida Argentina,Centro de Actividades Infantiles y Juveniles Club Retiro,CAIyJ Retiro,,1,RETIRO,-58.3706,-34.588,,,,,,,,
Zavaleta 204,Centro de Actividades Infantiles y Juveniles Club Parque Patricios,CAIyJ Parque Patricios,4912-3792,4,PARQUE PATRICIOS,-58.403,-34.6393,,,,,,,,
Ayacucho 1680,Esc. Primaria Común N° 01 Juan José Castelli,EPjc 01,4803-9149/63,2,RECOLETA,-58.3922,-34.5902,,,,,,,,
Ayacucho 1680,UGEE N°01 Unidad de Gestion Educativa Experimental Nº 01,UGEE 01,4803-9163/9149,2,RECOLETA,-58.3922,-34.5902,,,,,,,,
Avda. Pte. Manuel Quintana 31,Jardín de Infantes Común Nº 04/01º Cinco Esquinas,JIC 04/01,4812-0863,1,RETIRO,-58.3848,-34.5923,,,,,,,,
Avda. Pte. Manuel Quintana 31,Esc. Primaria Común N° 02 Domingo Faustino Sarmiento,EPjs 02,4811-2795,1,RETIRO,-58.3848,-34.5923,,,,,,,,
Avda. Pte. Manuel Quintana 31,Curso Vocacional de Danza y Expresión Corporal Infantil Nº 04,CV Dan Inf 04,4811-2795,1,RETIRO,-58.3848,-34.5923,,,,,,,,
Avda. Pte. Manuel Quintana 31,Curso Vocacional de Folklore Nº 04,CV Folk 04,4811-2795,1,RETIRO,-58.3848,-34.5923,,,,,,,,
Avda. Santa Fe 1510,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,EPjc 03,4811-9814,2,RECOLETA,-58.3886,-34.596,,,,,,,,
Avda. Santa Fe 1510,Esc. Primaria p/Adultos Nº 03 Dr. Onesimo Leguizamon (sede),EPA 03 (s),4811-9814 4313-3224,2,RECOLETA,-58.3886,-34.596,,,,,,,,
Reconquista 461,Esc. Primaria Común N° 04 De Catedral al Norte José Manuel Estrada,EPjc 04,4312-0918,1,SAN NICOLAS,-58.3724,-34.6024,,,,,,,,
Reconquista 461,Centro Educativo de Nivel Secundario N° 08,CENS 08,4312-0918,1,SAN NICOLAS,-58.3724,-34.6024,,,,,,,,
Rodríguez Peña 747,Jardín de Infantes Nucleado A (EPCjs 05/01º) [Sede],JIN A (05) (s),4813-2547,1,SAN NICOLAS,-58.3913,-34.6004,,,,,,,,
Rodríguez Peña 747,Esc. Primaria Común N° 05 Nicolás Rodríguez Peña,EPjs 05,4811-9190,1,SAN NICOLAS,-58.3913,-34.6004,,,,,,,,
Avda. Lincoln 4325,Curso Vocacional de Folklore Nº 15,CV Folk 15,4501-9217,11,VILLA DEVOTO,-58.5156,-34.5989,,,,,,,,
Rodríguez Peña 747,Instituto de Formación Técnica Superior Nº 05,IFTS 05,4813-2547 Fax 4811-9190,1,SAN NICOLAS,-58.3913,-34.6004,,,,,,,,
Basavilbaso 1295,Jardín de Infantes Integral Nº 02/01º,JII 02/01,4311-3937,1,RETIRO,-58.377,-34.593,,,,,,,,
Basavilbaso 1295,Esc. Primaria Común N° 06 French y Beruti,EPjc 06,4313-3224,1,RETIRO,-58.377,-34.593,,,,,,,,
Basavilbaso 1295,Esc. Primaria p/Adultos Nº 06 French y Beruti,EPA 06,4313-3224,1,RETIRO,-58.377,-34.593,,,,,,,,
Libertad 581,Jardín de Infantes Nucleado A (EPCjs 07/01º),JIN A (07),4382-2488/4382-0808,1,SAN NICOLAS,-58.3837,-34.6017,,,,,,,,
Libertad 581,Esc. Primaria Común N° 07 Presidente Roca,EPjc 07,4382-2488,1,SAN NICOLAS,-58.3837,-34.6017,,,,,,,,
Libertad 581,Esc. Primaria p/Adultos Nº 07 Presidente Roca,EPA 07,4382-2488,1,SAN NICOLAS,-58.3837,-34.6017,,,,,,,,
Talcahuano 680,Jardín de Infantes Nucleado A (EPCjc 08/01º),JIN A (08),4371-9336/5748,1,SAN NICOLAS,-58.3855,-34.6007,,,,,,,,
Talcahuano 680,Esc. Primaria Común Nº 08 Nicolas Avellaneda,EPjc 08,4371-9336/5748,1,SAN NICOLAS,-58.3855,-34.6007,,,,,,,,
Talcahuano 680,Esc. Primaria p/Adultos Nº 08 Nicolas Avellaneda,EPA 08,4371-9336/5748,1,SAN NICOLAS,-58.3855,-34.6007,,,,,,,,
Talcahuano 680,Centro Educativo de Nivel Secundario N° 03,CENS 03,4371-9336,1,SAN NICOLAS,-58.3855,-34.6007,,,,,,,,
Tte. Gral. Juan Domingo Perón 1140,Jardín de Infantes Nucleado A (EPCjc 09/01º),JIN A (09),4381-1891,1,SAN NICOLAS,-58.3826,-34.6063,,,,,,,,
Tte. Gral. Juan Domingo Perón 1140,Esc. Primaria Común Nº 09 Familia de Cabezon,EPjc 09,4381-1891,1,SAN NICOLAS,-58.3826,-34.6063,,,,,,,,
Tte. Gral. Juan Domingo Perón 1140,Centro Educativo de Nivel Secundario N° 26,CENS 26,4381-1891,1,SAN NICOLAS,-58.3826,-34.6063,,,,,,,,
Lavalle 2366,Jardín de Infantes Nucleado B (EPCjc 10/01º),JIN B (10),4952-9700/4952-7059,3,BALVANERA,-58.4004,-34.6036,,,,,,,,
Lavalle 2366,Esc. Primaria Común Nº 10 Presidente Manuel Quintana,EPjc 10,4952-9700,3,BALVANERA,-58.4004,-34.6036,,,,,,,,
Lavalle 2366,Esc. Primaria p/Adultos Nº 10 Presidente Manuel Quintana,EPA 10,4952-9700,3,BALVANERA,-58.4004,-34.6036,,,,,,,,
Julián Alvarez 2849,Jardín de Infantes Integral Nº 01/01º,JII 01/01,4822-9110,14,PALERMO,-58.4111,-34.5844,,,,,,,,
Julián Alvarez 2849,Esc. Primaria Común Nº 12 Gral. Las Heras,EPjc 12,4824-7598,14,PALERMO,-58.4111,-34.5844,,,,,,,,
Julián Alvarez 2849,Centro Educativo Complementario de Educación Plástica Nº 01,CEC Plástica 01,4824-7598,14,PALERMO,-58.4111,-34.5844,,,,,,,,
San Martín 458,Esc. Primaria Común Nº 13 Gral. San Martín,EPjc 13,4394-5932 4322-0596,1,SAN NICOLAS,-58.374,-34.6027,,,,,,,,
San Martín 458,Centro Educativo de Nivel Secundario N° 46,CENS 46,4394-5932,1,SAN NICOLAS,-58.374,-34.6027,,,,,,,,
Sarmiento 2250,Jardín de Infantes Nucleado B (EPCjc 14/01º) [Sede],JIN B (14) (s),4952-7059,3,BALVANERA,-58.3986,-34.6062,,,,,,,,
Sarmiento 2250,Esc. Primaria Común Nº 14 Cornelio Saavedra,EPjc 14,4951-0834,3,BALVANERA,-58.3986,-34.6062,,,,,,,,
Sarmiento 2250,CENOF Centro Sarmiento,CENOF Sarmiento,4951-0834/4952-7059,3,BALVANERA,-58.3986,-34.6062,,,,,,,,
Juncal 3131,Jardín de Infantes Común Nº 03/01º,JIC 03/01,4801-0298,14,PALERMO,-58.4088,-34.5857,,,,,,,,
Avda. Angel Gallardo 250,CENOF Centro Angel Gallardo,CENOF A Gallardo,4863-2923 4867-2749,6,CABALLITO,-58.4357,-34.604,,,,,,,,
Mario Bravo 234,Jardín de Infantes Nucleado D (EPCjc 18/02º),JIN D (18),4861-5527,5,ALMAGRO,-58.4176,-34.6079,,,,,,,,
Mario Bravo 234,Esc. Primaria Común Nº 18 Alejandro Carbo,EPjc 18,4861-5527,5,ALMAGRO,-58.4176,-34.6079,,,,,,,,
Avda. Manuel Montes de Oca 40,Esc. Hospitalaria Nº 03 Dr. Pedro de Elizalde,EH 03,4362-0713,4,BARRACAS,-58.3775,-34.629,,,,,,,,
Avda. Gral. Dellepiane 4901 Barrio Copello,Centro de Alfabetización, Educación Básica y Trabajo N° 86 C Cultural B° Copello,CAEByT 86,Dir de Educación del Adulto y del Adolescente,13,-58.4746,-34.6649,,,,,,,,
Chile 1371,Esc. Primaria Común Nº 13 Provincia de Santiago del Estero,EPjs 13,4383-6001,1,MONTSERRAT,-58.3855,-34.6166,,,,,,,,
Pepirí 135,Centro Educativo de Nivel Primario N° 58 - 61 y 27,CENP 58-61-27,4672-2684,4,PARQUE PATRICIOS,-58.4088,-34.6396,,,,,,,,
Avda. Manuel Montes de Oca 439,Jardín de Infantes Nucleado A (EPCjs 03/05º),JIN A (03),4307-6979,4,BARRACAS,-58.3758,-34.6337,,,,,,,,
Avda. Manuel Montes de Oca 439,Esc. Primaria Común N° 03 Bernardo de Irigoyen,EPjs 03,4307-6979,4,BARRACAS,-58.3758,-34.6337,,,,,,,,
Avda. Manuel Montes de Oca 439,Esc. de Música N° 05,EMus 05,4307-6979,4,BARRACAS,-58.3758,-34.6337,,,,,,,,
Solís 1815,Jardín de Infantes Nucleado B (EPCjs 04/05º),JIN B (04),4304-8692,1,CONSTITUCION,-58.3894,-34.6293,,,,,,,,
Solís 1815,Esc. Primaria Común N° 04 Cnel. de Marina Tomas Espora,EPjs 04,4304-8692,1,CONSTITUCION,-58.3894,-34.6293,,,,,,,,
Francisco Acuña de Figueroa 850,Jardín de Infantes Nucleado D (EPCjc 19/02º),JIN D (19),4862-4167/4453,5,ALMAGRO,-58.4224,-34.6012,,,,,,,,
Francisco Acuña de Figueroa 850,Esc. Primaria Común Nº 19 Florencio Balcarce,EPjc 19,4862-4167,5,ALMAGRO,-58.4224,-34.6012,,,,,,,,
Güemes 4610,Esc. Primaria Común Nº 20 Carlos Maria Biedma,EPjc 20,4773-4747,14,PALERMO,-58.424,-34.5815,,,,,,,,
Francisco Acuña de Figueroa 850,Esc. Primaria p/Adultos Nº 19 Florencio Balcarce,EPA 19,4862-4167,5,ALMAGRO,-58.4224,-34.6012,,,,,,,,
Pringles 1165,Jardín de Infantes Nucleado D (EPCjs 20/02º) [Sede],JIN D (20) (s),4862-4453,5,ALMAGRO,-58.4263,-34.5985,,,,,,,,
Pringles 1165,Esc. Primaria Común Nº 20 Rosario Vera Peñaloza,EPjs 20,4862-9561,5,ALMAGRO,-58.4263,-34.5985,,,,,,,,
Pringles 1165,CENOF Centro Pringles,CENOF Pringles,4862-9561,5,ALMAGRO,-58.4263,-34.5985,,,,,,,,
Sánchez de Bustamante 260,Jardín de Infantes Nucleado D (EPCjs 22/02º),JIN D (22),4861-3431 4862-4453,5,ALMAGRO,-58.4151,-34.6064,,,,,,,,
Sánchez de Bustamante 260,Esc. Primaria Común Nº 22 Carlos Javier Benielli,EPjs 22,4861-3431,5,ALMAGRO,-58.4151,-34.6064,,,,,,,,
Avda. Manuel Montes de Oca 16,Escuela Infantil N° 06/05° Rosario Vera Peñaloza,EI 06/05,4307-7202,4,BARRACAS,-58.3776,-34.6287,,,,,,,,
Avda. Caseros 1555,Jardín de Infantes Integral Nº 01/05º Walt Disney,JII 01/05,4306-7251,1,CONSTITUCION,-58.3848,-34.6325,,,,,,,,
San Antonio 1136,Jardín de Infantes Integral Nº 02/05º Antonino Aberastain,JII 02/05,4301-2414,4,BARRACAS,-58.3758,-34.6553,,,,,,,,
Juan Carlos Gómez 253,Esc. de Comercio Nº 18 Reino de Suecia,EC 18,4304-8491,4,PARQUE PATRICIOS,-58.3912,-34.6373,,,,,,,,
Juan Carlos Gómez 253,Esc. de Educación Media N° 01/05° E.Reingreso Norberto Julio Morresi,EEM 01/05 R,4304-8491,4,PARQUE PATRICIOS,-58.3912,-34.6373,,,,,,,,
Avda. Manuel Montes de Oca 121,Esc. Técnica Nº 04 República del Líbano,ET 04,4307-6913/6051,4,BARRACAS,-58.3773,-34.6301,,,,,,,,
José A. Cortejarena 3350,Esc. de Recuperación Nº 05,ER 05,4911-0796,4,PARQUE PATRICIOS,-58.409,-34.6441,,,,,,,,
Vieytes 942,Esc. Técnica Nº 10 Fray Luis Beltran,ET 10,4301-5830 4302-1679,4,BARRACAS,-58.3792,-34.6435,,,,,,,,
Santa Magdalena 431,Esc. Técnica Nº 14 Libertad,ET 14,4301-0366/4418,4,BARRACAS,-58.3812,-34.6478,,,,,,,,
Avda. Martín García 874,Esc. Técnica Nº 15 Maipu,ET 15,4362-4443/6376,4,BARRACAS,-58.3748,-34.6341,,,,,,,,
Arcamendía 743,Liceo Comercial Nº 03 Jose Manuel Estrada,Lic Com 03,4301-2992,4,BARRACAS,-58.3802,-34.641,,,,,,,,
Arcamendia 743,Esc. Normal Superior Nº 05 Gral. Don Martín Miguel de Güemes,ENS 05 M M Güemes,4302-7727/4301-9690,4,BARRACAS,-58.3798,-34.6419,,,,,,,,
Dr. Ramón Carrillo 375,Centro Educativo p/Niños c/Trastornos Emocionales Severos Nº 01,CENTES 01,4305-3381,4,BARRACAS,-58.3819,-34.6375,,,,,,,,
Iriarte 3880,Jardín de Infantes Integral Nº 10/05º (sede),JII 10/05 (s),4912-2862,4,BARRACAS,-58.4039,-34.6508,,,,,,,,
Zavaleta 204,Esc. Técnica Nº 07 Dolores Lavalle de Lavalle,ET 07,4912-3792,4,PARQUE PATRICIOS,-58.403,-34.6393,,,,,,,,
Combate de los Pozos 1881,Esc. Hospitalaria Nº 02 Dr. J. P. Garrahan,EH 02,4943-7363,4,PARQUE PATRICIOS,-58.3917,-34.6305,,,,,,,,
Combate de los Pozos 2133,Centro de Alfabetización, Educación Básica y Trabajo N° 70 CeNaReSo,CAEByT 70,Dir de Educación del Adulto y del Adolescente,5,-58.3912,-34.6333,,,,,,,,
Brandsen 2570,Centro Educativo de Nivel Secundario N° 49,CENS 49,4305-6666/6485 4362-7840,4,BARRACAS,-58.3852,-34.6394,,,,,,,,
San José 1985,Jardín de Infantes Nucleado B (EPCjs 06/05º) (Sede),JIN B (06) (s),4304-2848,1,CONSTITUCION,-58.3856,-34.6321,,,,,,,,
San José 1985,Esc. Primaria Común N° 06 Tomas Guido,EPjs 06,4304-8350,1,CONSTITUCION,-58.3856,-34.6321,,,,,,,,
Avda. Caseros 734,Jardín de Infantes Nucleado A (EPCjs 07/05º) (Sede),JIN A (07) (s),4307-6901,4,BARRACAS,-58.3749,-34.6272,,,,,,,,
Avda. Caseros 734,Esc. Primaria Común N° 07 Juan de Garay,EPjs 07,4307-7801,4,BARRACAS,-58.3749,-34.6272,,,,,,,,
Avda. Jujuy 150,Liceo Nº 10 Ricardo Rojas,Lic 10,4931-5889,3,BALVANERA,-58.4055,-34.6118,,,,,,,,
Avda. Jujuy 150,Bachillerato con Orientación Artística N° 04 Xul Solar,BOA 04 X Solar,4931-5889,3,BALVANERA,-58.4055,-34.6118,,,,,,,,
Cochabamba 2830,Esc. Técnica Nº 11 Manuel Belgrano,ET 11,4941-9884/0268,3,SAN CRISTOBAL,-58.4046,-34.6258,,,,,,,,
Avda. Jujuy 780,Esc. Técnica Nº 25 Tte. 1º de Artilleria Fray Luis Beltran,ET 25,4943-0535/0571,3,BALVANERA,-58.4034,-34.6185,,,,,,,,
Colpayo 132,Esc. de Educ. Espec. Nº 34 Gral. San Martín,EEE 34,4931-2718 4957-0248,6,CABALLITO,-58.4411,-34.6184,,,,,,,,
Avda. Jujuy 255,Esc. Técnica Nº 26 Confederacion Suiza,ET 26,4931-1947/7231/7700,3,BALVANERA,-58.4056,-34.613,,,,,,,,
Avda. Boedo 760,Esc. Técnica Nº 29 Reconquista de Buenos Aires,ET 29,4931-0118 4957-2920,5,BOEDO,-58.4162,-34.6218,,,,,,,,
Gral. Urquiza 277,Esc. Normal Superior Nº 02 en Lenguas Vivas Mariano Acosta,ENS 02 M Acosta,4931-7981/7893/3913,3,BALVANERA,-58.41,-34.6137,,,,,,,,
Gral. Urquiza 277,Inst. de Educación. Superior Mariano Acosta,IES M Acosta,4931-7981/7893/3913,3,BALVANERA,-58.41,-34.6137,,,,,,,,
La Rioja 1042,Esc. Normal Superior Nº 08 Presidente Julio Argentino Roca (sede),ENS 08 J A Roca (s),4931-1551/2283,3,SAN CRISTOBAL,-58.4071,-34.6226,,,,,,,,
Avda. Federico Lacroze 2971,Jardín de Infantes Nucleado B (EPCjs 15/09º),JIN B (15),4551-5252,13,COLEGIALES,-58.4484,-34.5755,,,,,,,,
Avda. Federico Lacroze 2971,Esc. Primaria Común Nº 15 Cap. Gral. Bernardo O'Higgins,EPjc 15,4551-5252,13,COLEGIALES,-58.4484,-34.5755,,,,,,,,
Avda. Federico Lacroze 2971,Esc. Primaria p/Adultos Nº 15 Cap. Gral. Bernardo O'Higgins,EPA 15,4551-5252,13,COLEGIALES,-58.4484,-34.5755,,,,,,,,
Moldes 1102,Esc. Primaria Común Nº 16 Cap. de Fragata Carlos Maria Moyano,EPjs 16,4783-3922,13,COLEGIALES,-58.4517,-34.5705,,,,,,,,
Moldes 1102,Esc. Primaria p/Adultos Nº 16 Cap. de Fragata Carlos Maria Moyano,EPA 16,4783-3922,13,COLEGIALES,-58.4517,-34.5705,,,,,,,,
Paraguay 4301,Jardín de Infantes Integral Nº 04/09º,JII 04/09,4832-8178,14,PALERMO,-58.4224,-34.5859,,,,,,,,
Paraguay 4301,Esc. Primaria Común Nº 17 Blas Parera,EPjc 17,4832-1978 4804-2956,14,PALERMO,-58.4224,-34.5859,,,,,,,,
Paraguay 4301,Esc. Primaria p/Adultos Nº 17 Blas Parera,EPA 17,4832-1978 4831-1978,14,PALERMO,-58.4224,-34.5859,,,,,,,,
Malabia 964,Jardín de Infantes Nucleado D (EPCjc 18/09º),JIN D (18),4772-1694,15,VILLA CRESPO,-58.4337,-34.595,,,,,,,,
Malabia 964,Esc. Primaria Común Nº 18 Yapeyu,EPjc 18,4772-1694 4774-7424,15,VILLA CRESPO,-58.4337,-34.595,,,,,,,,
Malabia 964,Esc. de Música N° 08,EMus 08,4772-1694,15,VILLA CRESPO,-58.4337,-34.595,,,,,,,,
Humboldt 742,Jardín de Infantes Nucleado D (EPCjs 19/09º),JIN D (19),4854-8363,15,VILLA CRESPO,-58.4448,-34.5923,,,,,,,,
Humboldt 742,Esc. Primaria Común Nº 19 Provincia del Chubut,EPjs 19,4854-8363,15,VILLA CRESPO,-58.4448,-34.5923,,,,,,,,
Güemes 4610,Jardín de Infantes Nucleado C (EPCjc 20/09º) [Sede],JIN C (20) (s),4775-1328,14,PALERMO,-58.424,-34.5815,,,,,,,,
Güemes 4610,Curso Vocacional de Folklore Nº 09,CV Folk 09,4773-4747,14,PALERMO,-58.424,-34.5815,,,,,,,,
Thames 1361,Jardín de Infantes Nucleado C (EPCjs 23/09º),JIN C (23),4772-1047,14,PALERMO,-58.4335,-34.5898,,,,,,,,
Thames 1361,Esc. Primaria Común Nº 23 Dr. Jose Maria Bustillo,EPjs 23,4772-1047,14,PALERMO,-58.4335,-34.5898,,,,,,,,
Thames 1361,Esc. Primaria p/Adultos Nº 23 Dr. Jose Maria Bustillo,EPA 23,4772-1047,14,PALERMO,-58.4335,-34.5898,,,,,,,,
Avda. del Libertador 4903,Jardín de Infantes Común Nº 02/09º Granaderos de San Martín,JIC 02/09,4772-0938 4773-9799,14,PALERMO,-58.4352,-34.5639,,,,,,,,
Avda. del Libertador 4903,Esc. Primaria Común Nº 30 Granaderos de San Martin,EPjs 30,4772-0922,14,PALERMO,-58.4352,-34.5639,,,,,,,,
Moldes 1220,Jardín de Infantes Común Nº 09/09º,JIC 09/09,4785-9629,13,COLEGIALES,-58.4523,-34.5701,,,,,,,,
Gurruchaga 739,Jardín de Infantes Común Nº 03/09º,JIC 03/09,4776-0413,15,VILLA CRESPO,-58.4386,-34.5955,,,,,,,,
Uriarte 2235,Jardín de Infantes Integral Nº 01/09º Dr. Alfredo Palacios,JII 01/09,4774-9032 4821-8442,14,PALERMO,-58.4254,-34.583,,,,,,,,
El Salvador 5528,Colegio Nº 04 Nicolás Avellaneda,Col 04,4771-3734/4022,14,PALERMO,-58.4349,-34.584,,,,,,,,
El Salvador 5528,Centro de Actividades Infantiles y Juveniles Club Avellaneda,CAIyJ Avellaneda,4771-3734,14,PALERMO,-58.4349,-34.584,,,,,,,,
Angel Justiniano Carranza 2045,Esc. de Comercio Nº 31 Naciones Unidas,EC 31,4772-1659/8586,14,PALERMO,-58.435,-34.5798,,,,,,,,
Simbrón 3160,Curso Vocacional de Folklore Nº 18,CV Folk 18,4504-3900,11,VILLA DEL PARQUE,-58.4961,-34.5995,,,,,,,,
Martín Fierro 5351,Jardín de Infantes Nucleado E (EPCjs 01/18º) (sede),JIN E (01) (s),4567-4917,10,MONTE CASTRO,-58.5139,-34.6234,,,,,,,,
Martín Fierro 5351,Esc. Primaria Común N° 01 Martín Fierro,EPjs 01,4567-4917,10,MONTE CASTRO,-58.5139,-34.6234,,,,,,,,
