11;HOSP. DE SALUD MENTAL J. BORDA;DOCTOR RAMON CARRILLO;375;4305-6485;4305-6666 / 6485;4304-1200;;C1275AHG;SALUD MENTAL;Ministerio de Salud GCBA;375 DOCTOR RAMON CARRILLO;-58.3821283751;-34.6364350549;"{""type"":""Point"";""coordinates"":[-58.38213;-34.63644]}"
12;HOSP. DE ODONTOLOGIA INFANTIL DON BENITO QUINQUELA MARTIN;DON PEDRO DE MENDOZA;1795;4302-9510 / 4301-4834;4302-9192;4301-4870;;C1169AAB;ODONTOLOGIA;Ministerio de Salud GCBA;1795 DON PEDRO DE MENDOZA;-58.3601201273;-34.6388917321;"{""type"":""Point"";""coordinates"":[-58.36012;-34.63889]}"
13;HOSP. DE REHABILITACION PSICOFISICA;ECHEVERRIA;955;4781-6071 / 74;4784-1225;478-30398;;C1428DQG;MED. FISICA/REHABILITACION;Ministerio de Salud GCBA;955 ECHEVERRIA;-58.4409882378;-34.5538963318;"{""type"":""Point"";""coordinates"":[-58.44099;-34.5539]}"
14;HOSP. MATERNO INFANTIL R. SARDA;ESTEBAN DE LUCA;2151;4943-3567;4943-4250;494-34966;www.sarda.org.ar;C1246ABQ;MATERNO-INFANTIL;Ministerio de Salud GCBA;2151 ESTEBAN DE LUCA;-58.4027506277;-34.6348563086;"{""type"":""Point"";""coordinates"":[-58.40275;-34.63486]}"
15;HOSP. OFTALMOLOGICO DR. P. LAGLEYZE;JUAN B. JUSTO;4151;4582-1278 / 4581-7766 / 0645;4581-0645 / 7766 / 2792  4582-8235 / 1278 (int. 108);4582-1278;;C1416DJI;OFTALMOLOGIA;Ministerio de Salud GCBA;4151 JUAN B. JUSTO;-58.4601855778;-34.6054342753;"{""type"":""Point"";""coordinates"":[-58.46019;-34.60543]}"
16;HOSP. DE ODONTOLOGIA  J. DUEÑAS;MUÑIZ;15;4983-0392 / 4983-8983;4983-0392 / 4983-8983;4983-0688;;C1212AAA;ODONTOLOGIA;Ministerio de Salud GCBA;15 MUÑIZ;-58.4276597538;-34.6146348347;"{""type"":""Point"";""coordinates"":[-58.42766;-34.61463]}"
17;HOSP. MUNICIPAL DE ONCOLOGIA M. CURIE;PATRICIAS ARGENTINAS;750;4982-1731 / 1831;4982-1731 / 1831 / 5744;4982-3972;;C1405BWU;ONCOLOGIA;Ministerio de Salud GCBA;750 PATRICIAS ARGENTINAS;-58.4332484384;-34.6070507603;"{""type"":""Point"";""coordinates"":[-58.43325;-34.60705]}"
18;HOSP. MUNICIPAL DE QUEMADOS;PEDRO GOYENA;369;4923-3022;4923-4082 / 4923-3022;4925-3557;www.buenosaires.gov.ar/areas/salud/hospital_quemados/?menu_id=24263;C1424BSD;QUEMADOS;Ministerio de Salud GCBA;369 PEDRO GOYENA;-58.4323966945;-34.6255031953;"{""type"":""Point"";""coordinates"":[-58.4324;-34.6255]}"
19;HOSP. DE OFTALMOLOGIA SANTA LUCIA;SAN JUAN;2021;4127-3100 / 4941-5555;4941- 8081;4941-7077;www.hospitalsantalucia.com.ar;C1232AAC;OFTALMOLOGIA;Ministerio de Salud GCBA;2021 SAN JUAN;-58.3940641606;-34.6227125074;"{""type"":""Point"";""coordinates"":[-58.39406;-34.62271]}"
20;HOSP. DE REHABILITACION M. ROCCA;SEGUROLA;1949;4630-4700 / 4800;4630-4741 / 4742;4566-4206;;C1407AOM;MED. FISICA/REHABILITACION;Ministerio de Salud GCBA;1949 SEGUROLA;-58.5021449224;-34.6179817541;"{""type"":""Point"";""coordinates"":[-58.50214;-34.61798]}"
21;HOSP. DE INFECCIOSAS F. MUÑIZ;USPALLATA;2272;4304-8794;4304-5555 / 4304-3380 / 2946 (int. 213);4304-2386;;C1282AEN;INFECTOLOGIA;Ministerio de Salud GCBA;2272 USPALLATA;-58.3937269409;-34.6375293257;"{""type"":""Point"";""coordinates"":[-58.39373;-34.63753]}"
22;HOSP. DE EMERG PSIQUIATRICAS TORCUATO DE ALVEAR;WARNES;2630;4521-0273 / 0090 / 0983;4521-5555 / 5934;4521-2537;;C1427DPS;SALUD MENTAL;Ministerio de Salud GCBA;2630 WARNES;-58.475258846;-34.597209873;"{""type"":""Point"";""coordinates"":[-58.47526;-34.59721]}"
23;HOSP. GENERAL DE AGUDOS B. RIVADAVIA;GENERAL LAS HERAS;2670;4809-2000;4809-2002 / 2340;4802-2721;www.buenosaires.gov.ar/areas/salud/rivadavia;C1425ASQ;GRAL: BAS/CRIT/OTR;Ministerio de Salud GCBA;2670 GENERAL LAS HERAS;-58.4005134578;-34.5847659584;"{""type"":""Point"";""coordinates"":[-58.40051;-34.58477]}"
24;HOSP. GENERAL DE AGUDOS DR C. ARGERICH;CORBETA PI Y MARGAL;750;4121-0700 / 0800;4121-0683;4362-2621;;C1155AHD;GRAL: BAS/CRIT/OTR;Ministerio de Salud GCBA;750 CORBETA PI Y MARGAL;-58.3659850888;-34.6283448582;"{""type"":""Point"";""coordinates"":[-58.36599;-34.62834]}"
25;HOSP. GENERAL DE AGUDOS DR. J. A. FERNANDEZ;CERVIÑO;3356;4808-2600;4808-5555 / 2600 / 2650 / 2640;4801-0932;;C1425AGP;GRAL: BAS/CRIT/OTR;Ministerio de Salud GCBA;3356 CERVIÑO;-58.4068939144;-34.5811417109;"{""type"":""Point"";""coordinates"":[-58.40689;-34.58114]}"
26;HOSP. GENERAL DE AGUDOS DR. C. DURAND;DIAZ VELEZ;5044;4982-5555 / 4982-5655 Conmutador 4982-1050 / 4981-2670;4982-1771 / 4982-5555 / 4981-2790;4982-2677;www.hospitaldurand.org.ar;C1405DCS;GRAL: BAS/CRIT/OTR;Ministerio de Salud GCBA;5044 DIAZ VELEZ;-58.4379813622;-34.6089728542;"{""type"":""Point"";""coordinates"":[-58.43798;-34.60897]}"
27;HOSP. GENERAL DE AGUDOS DR. T. ALVAREZ;DOCTOR JUAN FELIPE ARANGUREN;2701;4611-6666 / 4630-2900;4611-6666 (int. 2111 y 2948);4612-5073;;C1406FWY;GRAL: BAS/CRIT/OTR;Ministerio de Salud GCBA;2701 DOCTOR JUAN FELIPE ARANGUREN;-58.4695020368;-34.6241704943;"{""type"":""Point"";""coordinates"":[-58.4695;-34.62417]}"
28;HOSP. GENERAL DE AGUDOS J. M. RAMOS MEJIA;GENERAL URQUIZA;609;4931-1884 / 6702;4127-0400;4932-8858;www.ramosmejia.org.ar;C1221ADC;GRAL: BAS/CRIT/OTR;Ministerio de Salud GCBA;609 GENERAL URQUIZA;-58.4096107483;-34.6176598439;"{""type"":""Point"";""coordinates"":[-58.40961;-34.61766]}"
29;HOSP. GENERAL DE AGUDOS DR. I. PIROVANO;MONROE;3555;4542-5552 / 2772 / 9279;4542-5552 / 2772 / 9279;4543-2199;;C1430BKC;GRAL: BAS/CRIT/OTR;Ministerio de Salud GCBA;3555 MONROE;-58.4710781594;-34.5650519564;"{""type"":""Point"";""coordinates"":[-58.47108;-34.56505]}"
30;HOSP. GENERAL DE AGUDOS A. ZUBIZARRETA;NUEVA YORK;3952;4501-5985 / 0683;4501-5555 / 0683 / 5985;4501-2604;www.zubizarreta.org.ar;C1419HDN;GRAL: BAS/CRIT/OTR;Ministerio de Salud GCBA;3952 NUEVA YORK;-58.5110524995;-34.5999795246;"{""type"":""Point"";""coordinates"":[-58.51105;-34.59998]}"
31;HOSP. GENERAL DE AGUDOS D. VELEZ SARSFIELD;PEDRO CALDERON DE LA BARCA;1550;4639-8700 al 05;4639-8700 (int. 342);4566-9590;www.hospitalvelez.org.ar;C1407KQF;GRAL: BAS/CRIT/OTR;Ministerio de Salud GCBA;1550 PEDRO CALDERON DE LA BARCA;-58.5076151405;-34.6253367953;"{""type"":""Point"";""coordinates"":[-58.50762;-34.62534]}"
32;HOSP. GENERAL DE AGUDOS DONACION F. SANTOJANNI;PILAR;950;4630-5500 / 5509;4630-5673 / 5606 / 5536;4641-3359;www.hospitalsantojanni.gov.ar;C1408INH;GRAL: BAS/CRIT/OTR;Ministerio de Salud GCBA;950 PILAR;-58.5156291937;-34.6491867281;"{""type"":""Point"";""coordinates"":[-58.51563;-34.64919]}"
33;HOSP. GENERAL DE AGUDOS J. A. PENNA;PEDRO CHUTRO;3380;4912-1085;4911-5555 / 3030 (int. 230/268);4911-7222;;C1437JLR;GRAL: BAS/CRIT/OTR;Ministerio de Salud GCBA;3380 PEDRO CHUTRO;-58.4108602193;-34.6431172595;"{""type"":""Point"";""coordinates"":[-58.41086;-34.64312]}"
34;HOSP. GENERAL DE AGUDOS DR. E. TORNU;COMBATIENTES DE MALVINAS;3002;4521-3600 / 1236 / 8700;4521-6666;4521-6677;;C1427ARN;GRAL: BAS/CRIT/OTR;Ministerio de Salud GCBA;3002 COMBATIENTES DE MALVINAS;-58.4710976277;-34.5873917693;"{""type"":""Point"";""coordinates"":[-58.4711;-34.58739]}"
35;HOSP. GENERAL DE AGUDOS P. PIÑERO;VARELA;1301;4631-8100 / 0526;4631-8601;4632-8626;;C1406ELA;GRAL: BAS/CRIT/OTR;Ministerio de Salud GCBA;1301 VARELA;-58.454116782;-34.6438940722;"{""type"":""Point"";""coordinates"":[-58.45412;-34.64389]}"
